target_idx,target_ra,target_dec,n_matches_total,match_number,smash_idx,smash_ra,smash_dec,distance_arcsec,has_match
93,12.857086,-72.763344,2,2,130,12.857734785390898,-72.76349867068139,0.888272640338934,True
94,12.858666,-72.888458,1,1,119,12.85872871577833,-72.88845332191983,0.06853243833768498,True
95,12.883954,-73.309235,1,1,61,12.884009995156697,-73.30924623332517,0.0706208663015612,True
96,12.90685,-72.433243,1,1,183,12.906829335078434,-72.43325053406828,0.03521061211245982,True
97,12.911544,-72.972351,3,1,111,12.911332072800962,-72.97256300690137,0.7952516325957961,True
97,12.911544,-72.972351,3,2,112,12.911604909520285,-72.97234374964502,0.06931307382192659,True
97,12.911544,-72.972351,3,3,113,12.912073401840795,-72.97240216440697,0.5877038755824363,True
98,12.9154,-73.232407,1,1,84,12.915402299008948,-73.23243315011956,0.09417070457622542,True
99,12.921972,-72.933441,1,1,118,12.92200695314608,-72.93342808679273,0.05937057211024676,True
100,12.941341,-72.59816,4,1,156,12.941302374436694,-72.5982703270338,0.39934853250937363,True
100,12.941341,-72.59816,4,2,157,12.941290591571034,-72.59815817614597,0.054668324877706065,True
100,12.941341,-72.59816,4,3,158,12.94067540696548,-72.59798716609087,0.9490406509607503,True
100,12.941341,-72.59816,4,4,159,12.941799927226455,-72.59796406096456,0.8612237609027928,True
101,12.999333,-72.766563,1,1,131,12.999405938642678,-72.7665813810201,0.10212959835413603,True
102,13.001509,-73.0895,2,1,91,13.001490853698321,-73.0895315021,0.11498848856849501,True
102,13.001509,-73.0895,2,2,92,13.002364549774791,-73.08954803261015,0.9124303818180323,True
103,13.033491,-72.280327,1,1,202,13.033453554581113,-72.28034568182738,0.07878159894016597,True
104,13.038654,-72.99086,1,1,110,13.038707288501968,-72.99087413390312,0.07575056613958474,True
105,13.048194,-73.329536,1,1,60,13.048237237712785,-73.32955176244656,0.07220674146020901,True
106,13.050167,-72.627411,2,1,171,13.050158517924968,-72.62745226321834,0.14882712220255442,True
106,13.050167,-72.627411,2,2,172,13.050164071638688,-72.6274431348375,0.11572823030729514,True
107,13.051069,-72.727928,1,1,134,13.051144484957016,-72.72794289684069,0.09688094535903818,True
108,13.068365,-73.705978,1,1,53,13.068342173418392,-73.70600475640184,0.09904391028885733,True
109,13.079881,-71.911369,1,1,219,13.07985755751875,-71.91139148219595,0.085071828376477,True
110,13.089044,-72.665497,2,1,148,13.08905271429646,-72.66555468382643,0.20787203094814535,True
110,13.089044,-72.665497,2,2,149,13.089584201419493,-72.66539870532844,0.6789395464040374,True
111,13.104091,-72.684158,1,1,147,13.104095275831543,-72.68421188446308,0.19403816336062252,True
112,13.127266,-72.319092,2,1,200,13.127213745220129,-72.31913480257793,0.16434052333464652,True
112,13.127266,-72.319092,2,2,201,13.127352891892624,-72.3189736058397,0.43667920088223217,True
113,13.1284,-73.220673,1,1,85,13.128494102386945,-73.22072097145181,0.19846594075233057,True
114,13.1457,-72.433815,1,1,184,13.145706665095824,-72.4338669514855,0.18716549448349326,True
115,13.14854,-72.851479,1,1,120,13.148576777928126,-72.85146802201757,0.05555064925189906,True
116,13.162501,-73.009697,2,1,108,13.16249262818035,-73.00973319391056,0.13059536128110788,True
116,13.162501,-73.009697,2,2,109,13.16189437885231,-73.0095605959422,0.8052070901762884,True
117,13.163567,-72.740128,1,1,146,13.163588444243286,-72.74016072354242,0.12001091872212427,True
118,13.1687,-72.745171,1,1,145,13.168745571962774,-72.74518715774036,0.07583955710684372,True
119,13.169555,-72.756119,1,1,143,13.169564146889346,-72.75613590641818,0.06164091533211195,True
120,13.173921,-73.065315,1,1,94,13.174111580100359,-73.06534370967987,0.22498907616666777,True
121,13.189993,-73.073402,1,1,93,13.190088652608596,-73.07343029011714,0.14291098014441775,True
122,13.201415,-72.968979,2,1,114,13.200792295913654,-72.96885237508938,0.799312105930388,True
122,13.201415,-72.968979,2,2,115,13.201446714233175,-72.96898252321802,0.03576417900991164,True
123,13.211746,-72.775291,1,1,144,13.21178162710782,-72.77532481661322,0.12752658837342268,True
124,13.233808,-72.232277,2,1,207,13.233832828852789,-72.23226358054077,0.05547844036323689,True
124,13.233808,-72.232277,2,2,208,13.233232252117688,-72.23207512736533,0.9634388705476183,True
125,13.237359,-72.394661,1,1,195,13.237360242184476,-72.39467611959982,0.054447361718846905,True
126,13.241423,-72.580956,2,1,173,13.241371081685058,-72.58097336075988,0.08388498210174711,True
126,13.241423,-72.580956,2,2,174,13.242045619930673,-72.580799930048,0.8751625619961692,True
127,13.245275,-73.139763,1,1,89,13.245369194528482,-73.13976582781832,0.09887745514854665,True
128,13.249078,-73.441971,1,1,59,13.249090264100456,-73.44196914298504,0.014248103811620954,True
129,13.256099,-72.399757,1,1,194,13.256135134792876,-72.39979029393126,0.1261474063873417,True
130,13.256905,-72.508492,1,1,185,13.256863038750659,-72.50851493293538,0.09421987290849122,True
131,13.259931,-72.498817,1,1,186,13.259909224873542,-72.49882502723341,0.037293837914342716,True
132,13.268429,-72.562134,2,1,175,13.268441352145205,-72.56236855925775,0.8445184665481387,True
132,13.268429,-72.562134,2,2,176,13.26840834071835,-72.56214427874997,0.043197165082807014,True
133,13.279305,-72.171394,1,1,216,13.279326550332042,-72.1713965038307,0.025405852412137733,True
134,13.309965,-72.641273,2,1,150,13.309948915026506,-72.64129941132141,0.09663759411682103,True
134,13.309965,-72.641273,2,2,151,13.309551205397277,-72.64109638553454,0.7757515510731583,True
135,13.315513,-72.367493,1,1,196,13.315547839953048,-72.36750904717172,0.0691430318438499,True
136,13.316536,-73.259033,1,1,62,13.316564068987404,-73.2590819812491,0.1787185931654674,True
137,13.327935,-72.551033,1,1,177,13.327870524757861,-72.55106579532043,0.13705124436857674,True
138,13.329248,-71.703796,1,1,221,13.329160602266603,-71.70380616853434,0.10533755740110998,True
139,13.33919,-72.287971,1,1,205,13.339199722930267,-72.2879837145757,0.04699488193186964,True
140,13.339863,-71.844383,1,1,220,13.339783513620857,-71.8443971995156,0.10277815718660471,True
141,13.345563,-72.413216,1,1,188,13.345595470888425,-72.41324746236207,0.1186437521963177,True
142,13.348422,-72.783722,1,1,142,13.348438469007338,-72.78373227257335,0.040933500447500305,True
143,13.350006,-73.11042,1,1,90,13.350135978547724,-73.11044345394892,0.16003151961038412,True
144,13.358685,-72.489899,1,1,187,13.358676732535605,-72.48990930804328,0.03817413121932119,True
145,13.378453,-73.231285,1,1,86,13.378358638084196,-73.23129162332657,0.10086611392474933,True
146,13.378894,-72.532722,1,1,181,13.378898101792801,-72.53274979275074,0.10015202849994631,True
147,13.405291,-72.398819,1,1,197,13.405285840528922,-72.39884748921773,0.10271486118138677,True
