ra,dec,RAJ2000,DEJ2000,Bmag,e_Bmag,f_Bmag,Vmag,e_Vmag,f_Vmag,gmag,e_gmag,f_gmag,rmag,e_rmag,f_rmag,imag,e_imag,f_imag
81.969442,-68.985672                    ,081.9693939,-68.9857050,10.818, 1, ,10.735, 1, ,      ,  , ,      ,  , ,      ,  ,

81.973408,-69.032906                    ,081.9733653,-69.0329153,10.903, 1, ,10.802, 1, ,      ,  , ,      ,  , ,      ,  ,

81.997478,-68.811134                    ,081.9974548,-68.8111498,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

82.01141,-68.811485                     ,082.0114468,-68.8114887,12.135, 1, ,12.035, 1, ,      ,  , ,      ,  , ,      ,  ,

82.036095,-68.92878                     ,082.0360783,-68.9288031,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

82.062731,-66.685516                    ,082.0627092,-66.6855312,11.872, 5,.,11.716, 1,.,11.755, 3,.,11.791, 3,.,11.903, 2,.

82.073984,-66.144203                    ,082.0740168,-66.1442206,15.076, 9,.,13.607, 4,.,14.290, 3,.,13.181, 2,.,12.800, 0,.

82.074104,-69.071808                    ,082.0740406,-69.0718278,11.634, 1, ,11.358, 1, ,      ,  , ,      ,  , ,      ,  ,

82.075515,-66.481117,,,,,,,,,,,,,,,,,

82.083504,-67.038734                    ,082.0835674,-67.0387389,12.197, 1, ,12.183, 1, ,      ,  , ,      ,  , ,      ,  ,

82.08476,-67.405075                     ,082.0846889,-67.4050864,11.024, 3,.,10.520, 0,.,10.885, 1, ,10.419, 1, ,10.369, 1,

82.091541,-68.996727                    ,082.0915183,-68.9967481,11.760, 1, ,11.425, 1, ,      ,  , ,      ,  , ,      ,  ,

82.092332,-66.064278                    ,082.0923474,-66.0642848,12.099, 3,.,12.049, 2,.,12.025, 2,.,12.173, 2,.,12.310, 0,.

82.116361,-69.215927                    ,082.1163268,-69.2159556,12.546, 1, ,10.887, 1, ,11.626, 1, ,10.436, 1, ,10.240, 1,

82.126885,-69.136475                    ,082.1268124,-69.1364992,11.697, 1, ,11.653, 1, ,      ,  , ,      ,  , ,      ,  ,

82.130734,-68.898819                    ,082.1306750,-68.8988217,10.887, 1, ,10.783, 1, ,      ,  , ,      ,  , ,      ,  ,

82.166977,-66.158905                    ,082.1670545,-66.1589250,13.723, 3,.,13.069, 1,.,13.385, 2,.,12.897, 1,.,12.744, 3,.

82.16983,-66.106171                     ,082.1698456,-66.1061823,13.212, 2,.,12.876, 1,.,13.005, 0,.,12.852, 1,.,12.861, 4,.

82.218854,-68.991371                    ,082.2188248,-68.9913845,11.681, 1, ,11.433, 1, ,      ,  , ,      ,  , ,      ,  ,

82.227691,-66.024529                    ,082.2275945,-66.0245495,12.698, 2,.,12.493, 2,.,12.550, 1,.,12.517, 0,.,12.578, 1,.

82.233151,-68.983459                    ,082.2331062,-68.9834617,12.341, 1, ,12.193, 1, ,      ,  , ,      ,  , ,      ,  ,

82.295268,-66.183044                    ,082.2952374,-66.1830356,15.342, 7,.,13.653, 2,.,14.476, 3,.,13.112, 1,.,12.627, 1,.

82.354256,-68.466972                    ,082.3542633,-68.4669712,11.424, 1, ,11.333, 1, ,      ,  , ,      ,  , ,      ,  ,

82.419476,-70.052818,,,,,,,,,,,,,,,,,

82.471529,-69.122398                    ,082.4714742,-69.1224131,12.320,13,.,12.354,12,.,12.226, 6,.,12.350,12,.,12.557,16,.

82.505194,-67.243576                    ,082.5051895,-67.2435895,11.994, 1, ,12.035, 1, ,      ,  , ,      ,  , ,      ,  ,

82.509449,-67.045898                    ,082.5094715,-67.0458614,13.642,99,.,11.510,99,.,      ,  , ,      ,  , ,      ,  ,

82.55616,-69.437645                     ,082.5561053,-69.4376475,15.012, 4, ,13.893, 1, ,      ,  , ,      ,  , ,      ,  ,

82.58725,-69.457428                     ,082.5872006,-69.4574381,14.445, 1, ,13.490, 1, ,13.946, 5,.,13.118, 4,.,12.829, 1,

82.594033,-69.327492                    ,082.5939700,-69.3274870,10.672, 1, ,10.625, 1, ,      ,  , ,      ,  , ,10.792, 7,.

82.635222,-69.153328                    ,082.6351327,-69.1533120,10.957, 5,.,10.766, 5,.,10.800, 1, ,10.832, 1, ,10.873,11,.

82.705807,-67.153381                    ,082.7058221,-67.1533817,12.319, 5,.,12.259, 3,.,12.207, 1, ,12.327, 1, ,12.457, 3,.

82.708743,-69.524811                    ,082.7086724,-69.5248328,10.432, 1, ,10.333, 1, ,      ,  , ,      ,  , ,10.505, 1,

82.714471,-69.049652                    ,082.7144506,-69.0496195,10.624, 3,.,10.436, 7,.,      ,  , ,      ,  , ,10.473, 9,.

82.729433,-66.783691                    ,082.7294171,-66.7837212,12.264, 3,.,12.165, 4,.,12.147, 1,.,12.261, 0,.,12.407, 2,.

82.83041,-67.011963                     ,082.8304030,-67.0119656,12.639, 4,.,12.422, 2,.,12.445, 1, ,12.441, 1, ,12.474, 3,.

