# ra dec
80.180023 -69.487755
80.184968 -68.112518
80.220844 -68.8256
80.265148 -68.048332
80.313532 -69.444946
80.325135 -69.513069
80.325806 -66.908684
80.415711 -68.203964
80.420956 -65.868645
80.445623 -71.328827
80.475188 -67.91468
80.540699 -68.672325
80.54487 -69.096001
80.548035 -68.918198
80.561819 -67.859047
80.574008 -69.353386
80.576873 -66.916389
80.590077 -69.404907
80.596557 -67.899345
80.629679 -65.371346
80.637892 -68.277718
80.645487 -67.962013
80.648671 -68.899925
80.677044 -68.850769
80.737422 -69.595337
80.743821 -65.801697
80.744668 -69.242699
80.802722 -68.781891
80.84795 -69.656616
80.902677 -66.945122
80.906945 -68.777267
80.984144 -65.937645
80.987903 -69.777115
80.988021 -69.776245
81.00443 -71.160744
81.007614 -69.85527
81.057266 -66.424736
81.067416 -69.658638
81.086366 -67.662697
81.107683 -69.514938
81.121322 -72.285049
81.135044 -68.498512
81.156232 -69.532639
81.184848 -69.630096
81.271244 -72.03624
81.278608 -65.972839
81.279504 -66.04464
81.281768 -68.012367
81.284448 -67.644135
81.292764 -67.85672
81.294778 -66.265808
81.302457 -65.95694
81.320819 -69.582993
81.337162 -66.258972
81.351781 -66.568855
81.353718 -69.862534
81.401093 -69.037949
81.405049 -66.24147
81.40648 -65.975014
81.421781 -69.241486
81.424211 -66.203209
81.460458 -66.405823
81.495743 -66.038406
81.505768 -66.761322
81.516514 -67.499176
81.531756 -66.594673
81.554556 -67.274399
81.574316 -66.050484
81.600296 -68.04702
81.620436 -69.929291
81.638552 -66.621445
81.662074 -69.423714
81.681947 -65.962448
81.721598 -69.044411
81.732915 -69.980225
81.74923 -69.082756
81.76531 -66.011261
81.775145 -66.746681
81.803598 -66.050995
81.806541 -66.273705
81.863381 -66.082886
81.879173 -66.582611
81.895353 -71.747856
81.903676 -66.670418
81.903837 -68.799065
81.943503 -66.238586
81.953638 -66.03801
81.969442 -68.985672
81.97569 -68.328835
81.978051 -68.328995
81.997478 -68.811134
82.036095 -68.92878
