# index ra dec
736 83.955935 -66.700485
737 84.059698 -69.191147
738 84.073025 -68.963707
739 84.080953 -68.224899
740 84.223679 -70.35643
741 84.236771 -69.271767
742 84.26094 -69.643074
743 84.266308 -69.167656
744 84.289308 -69.324539
745 84.311686 -70.506462
746 84.382455 -70.299202
747 84.392608 -69.45929
748 84.43914 -69.309685
749 84.521252 -69.296501
750 84.576233 -69.067322
751 84.611746 -69.764206
752 84.661939 -69.13736
753 84.677308 -69.017288
754 84.679486 -69.025673
755 84.690958 -66.614372
756 84.721164 -70.717834
757 84.738261 -68.948074
758 84.76943 -67.879074
759 84.77477 -69.274086
760 84.783639 -70.337944
761 84.834334 -69.107307
762 84.916091 -69.20118
763 84.916984 -69.742706
764 84.949506 -69.267471
765 84.979328 -67.15332
766 85.004564 -69.581306
767 85.03308 -67.099304
768 85.053551 -69.581863
769 85.067588 -66.67672
770 85.072987 -69.515961
771 85.074858 -69.468552
772 85.080661 -69.689636
773 85.088533 -69.3116
774 85.137987 -67.211502
775 85.145193 -69.66127
776 85.241643 -69.23159
777 85.244159 -69.25267
778 85.249355 -69.644539
779 85.279678 -71.507668
780 85.284794 -67.3564
781 85.288253 -69.180138
782 85.289906 -69.179497
783 85.313089 -69.241997
784 85.320522 -69.169754
785 85.375419 -69.325356
786 85.417021 -68.606743
787 85.419263 -69.368065
788 85.436136 -69.587502
789 85.453935 -69.297897
790 85.465791 -70.423386
791 85.500693 -69.212509
792 85.507777 -68.714325
793 85.532318 -69.280785
794 85.537535 -69.216705
795 85.549741 -69.207756
796 85.564934 -68.176895
797 85.576602 -68.461136
798 85.58733 -69.487892
799 85.603976 -68.371994
800 85.605136 -69.479073
801 85.629423 -68.268906
802 85.649797 -69.069824
803 85.68147 -68.231514
804 85.692075 -67.812019
805 85.763473 -67.468979
806 85.824277 -69.69725
807 85.885111 -68.3144
808 85.92611 -68.58667
809 86.007315 -67.633423
810 86.014336 -69.902939
811 86.050507 -69.228134
812 86.116863 -69.801651
813 86.136478 -67.576225
814 86.164983 -66.87178
815 86.201296 -71.041496
816 86.20323 -69.539848
817 86.210766 -67.494606
818 86.31922 -68.99778
819 86.332 -67.509865
820 86.368152 -67.688766
821 86.476941 -67.333168
822 86.499385 -71.228409
823 86.507263 -66.990051
824 86.528952 -67.713066
825 86.529825 -67.78405
826 86.542931 -68.006226
827 86.560745 -67.568611
828 86.660324 -68.772453
829 86.675929 -68.008675
830 86.717654 -66.478897
831 86.875798 -69.451698
832 87.000617 -66.89904
833 87.108805 -67.466377
834 87.212245 -68.168159
835 87.261889 -70.041725
836 87.564943 -67.729652
837 87.747479 -67.471336
838 87.893788 -67.519714
839 88.22397 -69.48793
840 88.257561 -69.996269
841 89.12085 -69.366364
842 89.406794 -68.133484
843 89.45843 -68.462112
844 90.085395 -70.364693
845 90.110404 -69.621155
846 90.603388 -68.215889
847 91.330144 -69.310341
