RA,DEC,ebv_eden,ebv_sf,av_eden,av_sf
72.593866,-69.332047,0.10317,1.46456,0.32704,4.99415
72.654389,-69.99234,0.10193,0.12425,0.32311,0.42368
72.662716,-69.983589,0.10182,0.12583,0.32276,0.42907
72.667214,-69.712425,0.10243,0.25216,0.32469,0.85987
72.732719,-69.431274,0.10172,1.26554,0.32246,4.31549
72.782142,-70.277702,0.09605,0.16255,0.30448,0.5543
72.806542,-69.194733,0.10025,0.9067,0.3178,3.09183
72.810664,-68.962128,0.09706,0.57584,0.30767,1.96361
72.937831,-69.504936,0.09876,0.66745,0.31307,2.27599
72.937915,-69.77256,0.0994,0.28493,0.3151,0.97162
72.941734,-68.886284,0.09624,0.37634,0.30508,1.28333
72.976371,-69.024078,0.09882,0.58815,0.31326,2.00559
73.033181,-66.818192,0.04285,0.60269,0.13584,2.05517
73.039665,-70.505318,0.08788,0.17768,0.27858,0.60588
73.073257,-66.912819,0.04378,1.42876,0.1388,4.87206
73.080188,-69.078506,0.09967,0.75563,0.31595,2.57671
73.222376,-67.095154,0.04577,0.51056,0.14509,1.74101
73.245894,-69.880737,0.09471,0.22491,0.30023,0.76694
73.291444,-66.960022,0.0446,0.72139,0.14139,2.45993
73.297462,-68.648354,0.08987,0.33929,0.2849,1.15697
73.355576,-68.916763,0.09861,0.3946,0.3126,1.34559
73.394164,-67.078598,0.04599,0.43347,0.1458,1.47812
73.404957,-69.718651,0.09417,0.29304,0.29851,0.99926
73.422152,-69.073898,0.09594,1.12674,0.30413,3.8422
73.512351,-69.834541,0.09199,0.27704,0.29162,0.94472
73.523972,-69.765968,0.09254,0.30936,0.29335,1.0549
73.566326,-66.301208,0.04117,0.41049,0.13051,1.39978
73.573663,-67.093658,0.04656,0.32748,0.14761,1.11671
73.59903,-70.901611,0.08066,0.25646,0.25568,0.87453
73.645546,-66.646965,0.04256,0.28673,0.13492,0.97776
73.672778,-69.4366,0.09031,0.71194,0.28628,2.42772
73.678207,-69.285744,0.08983,1.03079,0.28475,3.51498
73.691707,-68.962776,0.09369,0.34136,0.297,1.16402
73.708893,-66.939491,0.04497,0.31172,0.14255,1.06297
73.738997,-66.752464,0.04339,0.24807,0.13755,0.84591
73.764138,-68.222588,0.07347,0.32119,0.23289,1.09526
73.770646,-69.798615,0.08933,0.24365,0.28319,0.83083
73.7762,-67.475845,0.05191,0.11755,0.16455,0.40084
73.790355,-69.486183,0.08945,0.52539,0.28357,1.79159
73.83998,-67.436485,0.05161,0.1219,0.16359,0.41568
73.887955,-67.338417,0.0504,0.18633,0.15977,0.6354
73.919471,-69.87233,0.08608,0.21014,0.27287,0.71658
73.970039,-69.706245,0.08839,0.18083,0.2802,0.61663
73.974836,-66.416481,0.04203,1.91758,0.13323,6.53895
73.978905,-69.725128,0.08807,0.17435,0.27917,0.59452
74.058839,-67.413483,0.05172,0.13404,0.16395,0.45709
74.063274,-66.20369,0.04161,0.71677,0.13191,2.44418
74.073144,-66.305267,0.04193,1.41745,0.13292,4.83351
